building_id,metric,model,MAE,MAPE,n_obs
Bear_education_Alfredo,power_active_kw,hour_of_week_profile,0.067,29.7122,1743
Bear_education_Alfredo,power_active_kw,seasonal_naive_168h,0.0602,38.8868,1706
Bear_education_Alvaro,power_active_kw,hour_of_week_profile,29.6941,7.6962,1741
Bear_education_Alvaro,power_active_kw,seasonal_naive_168h,33.5342,8.5249,1699
Bear_education_Arnold,power_active_kw,hour_of_week_profile,0.2372,39.1179,1698
Bear_education_Arnold,power_active_kw,seasonal_naive_168h,0.2448,43.9515,1638
Bear_education_Augusta,power_active_kw,hour_of_week_profile,18.2734,17.5327,1741
Bear_education_Augusta,power_active_kw,seasonal_naive_168h,15.9182,15.5275,1701
Bear_education_Austin,power_active_kw,hour_of_week_profile,3.4007,25.4102,1745
Bear_education_Austin,power_active_kw,seasonal_naive_168h,3.4955,22.304,1708
Bear_education_Babara,power_active_kw,hour_of_week_profile,28.301,7.9989,1727
Bear_education_Babara,power_active_kw,seasonal_naive_168h,27.5691,7.4949,1702
Bear_education_Benita,power_active_kw,hour_of_week_profile,27.137,5.0816,1672
Bear_education_Benita,power_active_kw,seasonal_naive_168h,29.501,5.3478,1672
Bear_education_Benjamin,power_active_kw,hour_of_week_profile,0.5016,88.841,1743
Bear_education_Benjamin,power_active_kw,seasonal_naive_168h,0.4043,58.4825,1706
Bear_education_Bob,power_active_kw,hour_of_week_profile,21.7467,17.6755,1752
Bear_education_Bob,power_active_kw,seasonal_naive_168h,17.9406,14.5769,1752
Bear_education_Bonita,power_active_kw,hour_of_week_profile,0.0786,63.4846,1733
Bear_education_Bonita,power_active_kw,seasonal_naive_168h,0.0138,10.6882,1696
Bear_education_Bulah,power_active_kw,hour_of_week_profile,64.1296,4.5631,1745
Bear_education_Bulah,power_active_kw,seasonal_naive_168h,80.7148,5.7895,1710
Bear_education_Carlo,power_active_kw,hour_of_week_profile,1.1309,39.0435,1740
Bear_education_Carlo,power_active_kw,seasonal_naive_168h,1.3223,46.5092,1701
Bear_education_Chad,power_active_kw,hour_of_week_profile,125.0792,13.0756,1752
Bear_education_Chad,power_active_kw,seasonal_naive_168h,54.8102,5.6367,1752
Bear_education_Chana,power_active_kw,hour_of_week_profile,2.7816,11.9648,1745
Bear_education_Chana,power_active_kw,seasonal_naive_168h,2.7417,12.2248,1708
Bear_education_Chun,power_active_kw,hour_of_week_profile,32.1398,48.0216,1738
Bear_education_Chun,power_active_kw,seasonal_naive_168h,16.3511,21.3986,1701
Bear_education_Clint,power_active_kw,hour_of_week_profile,3.9147,7.4132,1745
Bear_education_Clint,power_active_kw,seasonal_naive_168h,4.5256,8.4053,1708
Bear_education_Curtis,power_active_kw,hour_of_week_profile,8.2288,15.0453,1739
Bear_education_Curtis,power_active_kw,seasonal_naive_168h,7.3455,12.2704,1702
Bear_education_Danna,power_active_kw,hour_of_week_profile,20.9828,33.5251,1752
Bear_education_Danna,power_active_kw,seasonal_naive_168h,19.9761,26.8373,1752
Bear_education_Darrell,power_active_kw,hour_of_week_profile,6.3853,27.3228,1752
Bear_education_Darrell,power_active_kw,seasonal_naive_168h,6.945,24.2642,1752
Bear_education_Deborah,power_active_kw,hour_of_week_profile,0.4818,52.521,1744
Bear_education_Deborah,power_active_kw,seasonal_naive_168h,0.5224,75.6765,1706
Bear_education_Deena,power_active_kw,hour_of_week_profile,1.5117,23.8376,1639
Bear_education_Deena,power_active_kw,seasonal_naive_168h,1.5488,21.518,1602
Bear_education_Derek,power_active_kw,hour_of_week_profile,19.4686,2305.8645,1742
Bear_education_Derek,power_active_kw,seasonal_naive_168h,24.5295,2352.5049,1735
Bear_education_Destiny,power_active_kw,hour_of_week_profile,24.1579,28.3233,1752
Bear_education_Destiny,power_active_kw,seasonal_naive_168h,17.5829,18.1363,1752
Bear_education_Elise,power_active_kw,hour_of_week_profile,26.7523,17.9802,1752
Bear_education_Elise,power_active_kw,seasonal_naive_168h,33.1948,23.7545,1752
Bear_education_Fannie,power_active_kw,hour_of_week_profile,56.2024,14.3961,1717
Bear_education_Fannie,power_active_kw,seasonal_naive_168h,36.381,8.8265,1676
Bear_education_Gavin,power_active_kw,hour_of_week_profile,7.1182,8.5947,1751
Bear_education_Gavin,power_active_kw,seasonal_naive_168h,5.5925,6.5028,1751
Bear_education_Herb,power_active_kw,hour_of_week_profile,1.7159,14.3981,1744
Bear_education_Herb,power_active_kw,seasonal_naive_168h,2.0119,17.1965,1707
Bear_education_Herman,power_active_kw,hour_of_week_profile,0.0891,46.8808,1745
Bear_education_Herman,power_active_kw,seasonal_naive_168h,0.0822,35.3932,1708
Bear_education_Holly,power_active_kw,hour_of_week_profile,0.4068,22.7287,1731
Bear_education_Holly,power_active_kw,seasonal_naive_168h,0.405,25.9473,1662
Bear_education_Irene,power_active_kw,hour_of_week_profile,16.8328,18.6457,1745
Bear_education_Irene,power_active_kw,seasonal_naive_168h,12.9961,14.5825,1708
Bear_education_Iris,power_active_kw,hour_of_week_profile,6.3168,18.3287,1752
Bear_education_Iris,power_active_kw,seasonal_naive_168h,6.6323,17.8592,1752
Bear_education_Katy,power_active_kw,hour_of_week_profile,19.5744,17.1111,1752
Bear_education_Katy,power_active_kw,seasonal_naive_168h,17.4147,13.7715,1752
Bear_education_Lashanda,power_active_kw,hour_of_week_profile,13.7412,19.0085,1745
Bear_education_Lashanda,power_active_kw,seasonal_naive_168h,11.7257,16.1573,1708
Bear_education_Laurette,power_active_kw,hour_of_week_profile,1.6367,3.2304,1752
Bear_education_Laurette,power_active_kw,seasonal_naive_168h,1.9887,3.8994,1752
Bear_education_Leonel,power_active_kw,hour_of_week_profile,19.889,19.8917,1752
Bear_education_Leonel,power_active_kw,seasonal_naive_168h,23.9813,23.5852,1752
Bear_education_Lewis,power_active_kw,hour_of_week_profile,2.9081,15.6823,1745
Bear_education_Lewis,power_active_kw,seasonal_naive_168h,3.1539,16.5701,1708
Bear_education_Lidia,power_active_kw,hour_of_week_profile,2.3756,27.47,1745
Bear_education_Lidia,power_active_kw,seasonal_naive_168h,2.1278,20.9925,1708
Bear_education_Lila,power_active_kw,hour_of_week_profile,11.8477,6.6959,1752
Bear_education_Lila,power_active_kw,seasonal_naive_168h,7.9007,3.7868,1752
Bear_education_Liliana,power_active_kw,hour_of_week_profile,29.1702,6.4572,1591
Bear_education_Liliana,power_active_kw,seasonal_naive_168h,24.8651,5.3601,1413
Bear_education_Lorie,power_active_kw,hour_of_week_profile,27.4963,6.9486,1743
Bear_education_Lorie,power_active_kw,seasonal_naive_168h,26.6491,6.4279,1706
Bear_education_Mara,power_active_kw,hour_of_week_profile,14.6785,3.0239,1752
Bear_education_Mara,power_active_kw,seasonal_naive_168h,15.5433,3.1634,1750
Bear_education_Marie,power_active_kw,hour_of_week_profile,3.3373,21.2371,1752
Bear_education_Marie,power_active_kw,seasonal_naive_168h,3.2787,18.8357,1752
Bear_education_Marsha,power_active_kw,hour_of_week_profile,6.7836,7.8676,1744
Bear_education_Marsha,power_active_kw,seasonal_naive_168h,7.3422,8.4085,1744
Bear_education_Marta,power_active_kw,hour_of_week_profile,9.4039,27.6422,1751
Bear_education_Marta,power_active_kw,seasonal_naive_168h,9.3088,28.1964,1751
Bear_education_Maryjane,power_active_kw,hour_of_week_profile,46.4166,14.4087,1751
Bear_education_Maryjane,power_active_kw,seasonal_naive_168h,48.7036,14.5198,1751
Bear_education_Merrill,power_active_kw,hour_of_week_profile,4.7106,26.1988,1727
Bear_education_Merrill,power_active_kw,seasonal_naive_168h,3.291,17.3691,1672
Bear_education_Millie,power_active_kw,hour_of_week_profile,0.4497,14.8017,1718
Bear_education_Millie,power_active_kw,seasonal_naive_168h,0.3123,9.9562,1669
Bear_education_Nanette,power_active_kw,hour_of_week_profile,16.4843,16.2262,1745
Bear_education_Nanette,power_active_kw,seasonal_naive_168h,17.6475,16.3968,1708
Bear_education_Oscar,power_active_kw,hour_of_week_profile,2.4367,29.9485,1744
Bear_education_Oscar,power_active_kw,seasonal_naive_168h,1.4051,15.6256,1707
Bear_education_Owen,power_active_kw,hour_of_week_profile,20.7242,15.3891,1752
Bear_education_Owen,power_active_kw,seasonal_naive_168h,14.916,11.1305,1752
Bear_education_Paola,power_active_kw,hour_of_week_profile,24.1365,15.6546,1752
Bear_education_Paola,power_active_kw,seasonal_naive_168h,23.6743,14.4498,1752
Bear_education_Patricia,power_active_kw,hour_of_week_profile,29.5833,4.8609,1744
Bear_education_Patricia,power_active_kw,seasonal_naive_168h,26.3319,4.2108,1705
Bear_education_Pattie,power_active_kw,hour_of_week_profile,13.3181,6.3536,1744
Bear_education_Pattie,power_active_kw,seasonal_naive_168h,11.9067,5.8673,1707
Bear_education_Rebecca,power_active_kw,hour_of_week_profile,36.0064,4.8911,1743
Bear_education_Rebecca,power_active_kw,seasonal_naive_168h,37.4755,5.0722,1702
Bear_education_Sandy,power_active_kw,hour_of_week_profile,1.0136,16.9093,1734
Bear_education_Sandy,power_active_kw,seasonal_naive_168h,0.9148,14.0868,1691
Bear_education_Santos,power_active_kw,hour_of_week_profile,3.3167,44.0559,1745
Bear_education_Santos,power_active_kw,seasonal_naive_168h,2.7309,33.7375,1709
Bear_education_Sharon,power_active_kw,hour_of_week_profile,9.7688,8.0522,1752
Bear_education_Sharon,power_active_kw,seasonal_naive_168h,6.0348,5.0936,1750
Bear_education_Tara,power_active_kw,hour_of_week_profile,0.7369,23.5638,1744
Bear_education_Tara,power_active_kw,seasonal_naive_168h,0.8567,27.181,1707
Bear_education_Thuy,power_active_kw,hour_of_week_profile,35.8524,17.2794,1752
Bear_education_Thuy,power_active_kw,seasonal_naive_168h,34.6443,15.6398,1752
Bear_education_Val,power_active_kw,hour_of_week_profile,18.9028,5.515,1751
Bear_education_Val,power_active_kw,seasonal_naive_168h,18.041,5.0961,1751
Bear_education_Wade,power_active_kw,hour_of_week_profile,13.336,21.2813,1752
Bear_education_Wade,power_active_kw,seasonal_naive_168h,8.2207,13.4949,1752
Bear_education_Wilton,power_active_kw,hour_of_week_profile,121.1569,7.0608,1752
Bear_education_Wilton,power_active_kw,seasonal_naive_168h,137.3032,8.269,1752
Bear_education_Wm,power_active_kw,hour_of_week_profile,4.723,9.4264,1752
Bear_education_Wm,power_active_kw,seasonal_naive_168h,4.9359,9.9956,1751
Bear_education_Yuri,power_active_kw,hour_of_week_profile,2.9847,25.6044,1745
Bear_education_Yuri,power_active_kw,seasonal_naive_168h,3.5514,27.0143,1708
Bear_education_Yvette,power_active_kw,hour_of_week_profile,2.5134,23.8876,1744
Bear_education_Yvette,power_active_kw,seasonal_naive_168h,2.9516,27.8974,1704
Bear_education_Zandra,power_active_kw,hour_of_week_profile,61.1555,6.6712,1733
Bear_education_Zandra,power_active_kw,seasonal_naive_168h,12.5661,1.3585,1696
Bobcat_education_Alissa,power_active_kw,hour_of_week_profile,12.6355,19.2151,1750
Bobcat_education_Alissa,power_active_kw,seasonal_naive_168h,8.7696,13.9459,1748
Bobcat_education_Angela,power_active_kw,hour_of_week_profile,8.6024,8.9723,1547
Bobcat_education_Angela,power_active_kw,seasonal_naive_168h,9.2061,10.1897,1542
Bobcat_education_Coleman,power_active_kw,hour_of_week_profile,12.4702,10.3483,1547
Bobcat_education_Coleman,power_active_kw,seasonal_naive_168h,11.8924,9.0067,1543
Bobcat_education_Dylan,power_active_kw,hour_of_week_profile,10.5912,7.6805,1449
Bobcat_education_Dylan,power_active_kw,seasonal_naive_168h,13.3692,9.9145,1445
Bobcat_education_Hollis,power_active_kw,hour_of_week_profile,11.694,9.2261,1305
Bobcat_education_Hollis,power_active_kw,seasonal_naive_168h,14.9669,11.3251,1164
Bobcat_education_Jayne,power_active_kw,hour_of_week_profile,13.8109,17.2254,1339
Bobcat_education_Jayne,power_active_kw,seasonal_naive_168h,9.814,14.3583,1332
Bobcat_education_Karin,power_active_kw,hour_of_week_profile,10.8714,23.6794,347
Bobcat_education_Karin,power_active_kw,seasonal_naive_168h,10.0151,22.2844,347
Bobcat_education_Marisha,power_active_kw,hour_of_week_profile,22.8512,25.214,974
Bobcat_education_Marisha,power_active_kw,seasonal_naive_168h,16.6158,19.7546,974
Bobcat_education_Miki,power_active_kw,hour_of_week_profile,43.705,564.8694,719
Bobcat_education_Miki,power_active_kw,seasonal_naive_168h,1.6198,19.9533,719
Bobcat_education_Monte,power_active_kw,hour_of_week_profile,3.9103,17.0625,1269
Bobcat_education_Monte,power_active_kw,seasonal_naive_168h,3.0257,12.153,1266
Bobcat_education_Rosalva,power_active_kw,hour_of_week_profile,13.7932,15.512,1332
Bobcat_education_Rosalva,power_active_kw,seasonal_naive_168h,9.7368,11.251,1327
Bobcat_education_Toni,power_active_kw,hour_of_week_profile,2.3981,9.5707,1341
Bobcat_education_Toni,power_active_kw,seasonal_naive_168h,2.8955,11.2703,1337
Bobcat_education_Whitney,power_active_kw,hour_of_week_profile,57.7884,15.8136,1318
Bobcat_education_Whitney,power_active_kw,seasonal_naive_168h,49.6,14.3379,1315
Bobcat_office_Alma,power_active_kw,hour_of_week_profile,1.6001,61.4433,1548
Bobcat_office_Alma,power_active_kw,seasonal_naive_168h,1.0867,34.4936,1545
Bobcat_office_Justine,power_active_kw,hour_of_week_profile,8.5886,39.2002,1543
Bobcat_office_Justine,power_active_kw,seasonal_naive_168h,6.9082,34.6341,1540
Bobcat_office_Kassandra,power_active_kw,hour_of_week_profile,13.5486,20.5582,1402
Bobcat_office_Kassandra,power_active_kw,seasonal_naive_168h,9.1627,14.1541,1398
Bobcat_office_Melody,power_active_kw,hour_of_week_profile,8.5125,14.1384,1546
Bobcat_office_Melody,power_active_kw,seasonal_naive_168h,6.0921,10.7172,1539
Bobcat_office_Nikita,power_active_kw,hour_of_week_profile,6.6438,18.6679,1547
Bobcat_office_Nikita,power_active_kw,seasonal_naive_168h,2.9733,8.67,1544
Bull_education_Annette,power_active_kw,hour_of_week_profile,63.1921,28.3033,1752
Bull_education_Annette,power_active_kw,seasonal_naive_168h,46.5031,16.6488,1751
Bull_education_Antonia,power_active_kw,hour_of_week_profile,96.5371,27.2526,1751
Bull_education_Antonia,power_active_kw,seasonal_naive_168h,125.4883,35.0433,1745
Bull_education_Arthur,power_active_kw,hour_of_week_profile,37.8093,12.3141,1751
Bull_education_Arthur,power_active_kw,seasonal_naive_168h,59.7713,17.8932,1745
Bull_education_Barry,power_active_kw,hour_of_week_profile,65.1392,31.8233,1750
Bull_education_Barry,power_active_kw,seasonal_naive_168h,113.1445,37.4096,1744
Bull_education_Bernice,power_active_kw,hour_of_week_profile,76.9583,12.4776,1750
Bull_education_Bernice,power_active_kw,seasonal_naive_168h,95.1932,24.9478,1747
Bull_education_Brady,power_active_kw,hour_of_week_profile,6.1341,18.8486,1751
Bull_education_Brady,power_active_kw,seasonal_naive_168h,7.0344,22.3698,1745
Bull_education_Brain,power_active_kw,hour_of_week_profile,38.1823,6.86,1751
Bull_education_Brain,power_active_kw,seasonal_naive_168h,53.9811,11.479,1743
Bull_education_Brandi,power_active_kw,hour_of_week_profile,5.5459,16.11,1751
Bull_education_Brandi,power_active_kw,seasonal_naive_168h,7.3217,22.6452,1744
Bull_education_Brenda,power_active_kw,hour_of_week_profile,21.9273,12.1338,1751
Bull_education_Brenda,power_active_kw,seasonal_naive_168h,26.7426,15.5231,1745
Bull_education_Bryon,power_active_kw,hour_of_week_profile,5.4808,13.6099,1750
Bull_education_Bryon,power_active_kw,seasonal_naive_168h,6.4963,17.5966,1743
Bull_education_Carl,power_active_kw,hour_of_week_profile,52.7204,22.4743,1751
Bull_education_Carl,power_active_kw,seasonal_naive_168h,81.0842,28.0321,1745
Bull_education_Clarice,power_active_kw,hour_of_week_profile,4.9703,11.97,1750
Bull_education_Clarice,power_active_kw,seasonal_naive_168h,4.6982,10.6768,1743
Bull_education_Clarita,power_active_kw,hour_of_week_profile,39.2648,7.1425,1750
Bull_education_Clarita,power_active_kw,seasonal_naive_168h,48.1153,9.7331,1744
Bull_education_Dakota,power_active_kw,hour_of_week_profile,11.2968,24.2207,1751
Bull_education_Dakota,power_active_kw,seasonal_naive_168h,11.7691,22.9069,1745
Bull_education_Dan,power_active_kw,hour_of_week_profile,23.5324,9.1755,1751
Bull_education_Dan,power_active_kw,seasonal_naive_168h,27.9381,11.8205,1745
Bull_education_Dania,power_active_kw,hour_of_week_profile,6.5346,16.749,1751
Bull_education_Dania,power_active_kw,seasonal_naive_168h,5.738,13.1363,1744
Bull_education_Delia,power_active_kw,hour_of_week_profile,183.3489,8.6506,1752
Bull_education_Delia,power_active_kw,seasonal_naive_168h,274.4229,18.5502,1750
