building_id,metric,model_selected,MAE,CV(RMSE),cvrmse_seasonal_naive,delta_cvrmse_pct,med_ae
Bear_education_Alfredo,power_active_kw,ridge_regression,0.0566,51.83,63.47,-18.34,0.0468
Bear_education_Alvaro,power_active_kw,ridge_regression,18.992,6.49,10.87,-40.33,14.0056
Bear_education_Arnold,power_active_kw,ridge_regression,0.232,69.14,90.46,-23.56,0.1297
Bear_education_Augusta,power_active_kw,ridge_regression,18.6232,25.03,30.92,-19.02,12.5617
Bear_education_Austin,power_active_kw,ridge_regression,3.3196,35.69,41.54,-14.1,1.5392
Bear_education_Babara,power_active_kw,ridge_regression,16.4487,6.0,10.61,-43.49,13.8989
Bear_education_Benita,power_active_kw,ridge_regression,18.2819,4.3,7.2,-40.3,15.3711
Bear_education_Benjamin,power_active_kw,ridge_regression,0.3841,59.53,73.25,-18.73,0.3273
Bear_education_Bob,power_active_kw,ridge_regression,16.6653,19.65,24.36,-19.32,10.0123
Bear_education_Bonita,power_active_kw,seasonal_naive_168h,0.013,30.03,30.03,112.27,0.0403
Bear_education_Bulah,power_active_kw,ridge_regression,65.4181,5.9,8.38,-29.65,58.1279
Bear_education_Carlo,power_active_kw,ridge_regression,1.0322,42.81,59.62,-28.2,0.5122
Bear_education_Chad,power_active_kw,ridge_regression,40.9637,5.58,8.35,-33.17,32.4519
Bear_education_Chana,power_active_kw,ridge_regression,2.2798,15.14,20.28,-25.31,1.3573
Bear_education_Chun,power_active_kw,ridge_regression,10.362,17.47,26.69,-34.56,6.526
Bear_education_Clint,power_active_kw,ridge_regression,3.9081,10.15,12.04,-15.71,2.9637
Bear_education_Curtis,power_active_kw,ridge_regression,5.9402,13.35,16.87,-20.86,3.7972
Bear_education_Danna,power_active_kw,ridge_regression,17.3525,29.27,34.34,-14.76,8.7525
Bear_education_Darrell,power_active_kw,ridge_regression,6.464,36.94,44.54,-17.08,2.3356
Bear_education_Deborah,power_active_kw,ridge_regression,0.4947,132.94,158.9,-16.34,0.3358
Bear_education_Deena,power_active_kw,ridge_regression,1.2451,22.88,29.96,-23.63,0.8454
Bear_education_Derek,power_active_kw,ridge_regression,11.9579,14.28,28.11,-49.21,6.634
Bear_education_Destiny,power_active_kw,ridge_regression,12.7938,19.19,26.83,-28.49,9.0328
Bear_education_Elise,power_active_kw,ridge_regression,24.3138,21.91,30.92,-29.14,17.4984
Bear_education_Fannie,power_active_kw,ridge_regression,18.9279,7.17,14.74,-51.36,13.578
Bear_education_Gavin,power_active_kw,ridge_regression,4.7244,7.12,8.41,-15.27,3.9
Bear_education_Herb,power_active_kw,ridge_regression,1.6579,21.57,27.62,-21.91,0.8718
Bear_education_Herman,power_active_kw,ridge_regression,0.0698,42.97,58.05,-25.98,0.0482
Bear_education_Holly,power_active_kw,ridge_regression,0.2981,30.7,41.25,-25.57,0.1839
Bear_education_Irene,power_active_kw,ridge_regression,18.0024,33.12,40.42,-18.06,9.1459
Bear_education_Iris,power_active_kw,ridge_regression,6.9871,24.45,26.13,-6.42,4.3194
Bear_education_Katy,power_active_kw,ridge_regression,13.0265,14.81,22.35,-33.76,10.0574
Bear_education_Lashanda,power_active_kw,ridge_regression,11.1332,19.73,22.01,-10.35,6.8433
Bear_education_Laurette,power_active_kw,ridge_regression,1.8813,4.92,5.46,-9.93,1.4757
Bear_education_Leonel,power_active_kw,ridge_regression,20.405,27.91,37.47,-25.53,13.6839
Bear_education_Lewis,power_active_kw,ridge_regression,2.8583,22.86,25.77,-11.32,1.579
Bear_education_Lidia,power_active_kw,ridge_regression,2.0935,29.26,32.5,-9.96,1.3685
Bear_education_Lila,power_active_kw,ridge_regression,9.116,5.78,6.1,-5.29,7.8237
Bear_education_Liliana,power_active_kw,ridge_regression,17.1381,4.92,7.54,-34.8,13.0665
Bear_education_Lorie,power_active_kw,ridge_regression,17.244,5.78,9.46,-38.87,13.4379
Bear_education_Mara,power_active_kw,ridge_regression,12.0642,3.56,4.43,-19.67,8.1984
Bear_education_Marie,power_active_kw,ridge_regression,3.6711,31.42,33.45,-6.07,1.9708
Bear_education_Marsha,power_active_kw,ridge_regression,6.3579,13.06,16.1,-18.86,3.5562
Bear_education_Marta,power_active_kw,ridge_regression,7.9036,27.61,36.43,-24.21,5.2304
Bear_education_Maryjane,power_active_kw,ridge_regression,30.8164,12.3,22.64,-45.66,25.1828
Bear_education_Merrill,power_active_kw,ridge_regression,3.1773,24.72,25.88,-4.45,2.2218
Bear_education_Millie,power_active_kw,ridge_regression,0.306,14.51,17.51,-17.1,0.2262
Bear_education_Nanette,power_active_kw,ridge_regression,11.2821,14.77,24.33,-39.3,8.4172
Bear_education_Oscar,power_active_kw,ridge_regression,1.2964,20.49,23.28,-12.0,0.9055
Bear_education_Owen,power_active_kw,seasonal_naive_168h,14.916,19.74,19.74,1.51,8.053
Bear_education_Paola,power_active_kw,ridge_regression,19.8871,19.33,23.77,-18.64,11.5818
Bear_education_Patricia,power_active_kw,ridge_regression,23.7609,4.84,5.54,-12.69,20.3401
Bear_education_Pattie,power_active_kw,ridge_regression,9.7946,6.17,7.86,-21.61,8.4567
Bear_education_Rebecca,power_active_kw,ridge_regression,24.1297,4.38,6.85,-36.09,17.8261
Bear_education_Sandy,power_active_kw,ridge_regression,0.9005,17.19,20.41,-15.76,0.8148
Bear_education_Santos,power_active_kw,ridge_regression,2.9657,60.66,76.26,-20.46,1.1062
Bear_education_Sharon,power_active_kw,ridge_regression,5.4121,6.05,7.5,-19.25,4.169
Bear_education_Tara,power_active_kw,ridge_regression,0.6876,26.17,34.51,-24.18,0.576
Bear_education_Thuy,power_active_kw,ridge_regression,30.2354,18.98,24.23,-21.66,18.0904
Bear_education_Val,power_active_kw,seasonal_naive_168h,18.041,8.1,8.1,0.74,12.3727
Bear_education_Wade,power_active_kw,ridge_regression,8.0703,20.75,25.93,-20.0,4.4924
Bear_education_Wilton,power_active_kw,ridge_regression,117.8442,8.37,11.16,-24.95,111.1313
Bear_education_Wm,power_active_kw,ridge_regression,4.2036,13.99,17.41,-19.66,2.4142
