building_id,metric,model,MAE,CV(RMSE),delta_cvrmse_vs_seasonal_naive_pct
Bear_education_Alfredo,power_active_kw,seasonal_naive_168h,0.0595,63.47,0.0
Bear_education_Alfredo,power_active_kw,ridge_regression,0.0566,51.83,-18.34
Bear_education_Alvaro,power_active_kw,seasonal_naive_168h,32.8267,10.87,0.0
Bear_education_Alvaro,power_active_kw,ridge_regression,18.992,6.49,-40.33
Bear_education_Arnold,power_active_kw,seasonal_naive_168h,0.237,90.46,0.0
Bear_education_Arnold,power_active_kw,ridge_regression,0.232,69.14,-23.56
Bear_education_Augusta,power_active_kw,seasonal_naive_168h,16.127,30.92,0.0
Bear_education_Augusta,power_active_kw,ridge_regression,18.6232,25.03,-19.02
Bear_education_Austin,power_active_kw,seasonal_naive_168h,3.4838,41.54,0.0
Bear_education_Austin,power_active_kw,ridge_regression,3.3196,35.69,-14.1
Bear_education_Babara,power_active_kw,seasonal_naive_168h,27.1837,10.61,0.0
Bear_education_Babara,power_active_kw,ridge_regression,16.4487,6.0,-43.49
Bear_education_Benita,power_active_kw,seasonal_naive_168h,29.501,7.2,0.0
Bear_education_Benita,power_active_kw,ridge_regression,18.2819,4.3,-40.3
Bear_education_Benjamin,power_active_kw,seasonal_naive_168h,0.4071,73.25,0.0
Bear_education_Benjamin,power_active_kw,ridge_regression,0.3841,59.53,-18.73
Bear_education_Bob,power_active_kw,seasonal_naive_168h,17.9406,24.36,0.0
Bear_education_Bob,power_active_kw,ridge_regression,16.6653,19.65,-19.32
Bear_education_Bonita,power_active_kw,seasonal_naive_168h,0.013,30.03,0.0
Bear_education_Bonita,power_active_kw,ridge_regression,0.0549,63.75,112.27
Bear_education_Bulah,power_active_kw,seasonal_naive_168h,77.7368,8.38,0.0
Bear_education_Bulah,power_active_kw,ridge_regression,65.4181,5.9,-29.65
Bear_education_Carlo,power_active_kw,seasonal_naive_168h,1.3267,59.62,0.0
Bear_education_Carlo,power_active_kw,ridge_regression,1.0322,42.81,-28.2
Bear_education_Chad,power_active_kw,seasonal_naive_168h,54.8102,8.35,0.0
Bear_education_Chad,power_active_kw,ridge_regression,40.9637,5.58,-33.17
Bear_education_Chana,power_active_kw,seasonal_naive_168h,2.7678,20.28,0.0
Bear_education_Chana,power_active_kw,ridge_regression,2.2798,15.14,-25.31
Bear_education_Chun,power_active_kw,seasonal_naive_168h,15.9685,26.69,0.0
Bear_education_Chun,power_active_kw,ridge_regression,10.362,17.47,-34.56
Bear_education_Clint,power_active_kw,seasonal_naive_168h,4.5313,12.04,0.0
Bear_education_Clint,power_active_kw,ridge_regression,3.9081,10.15,-15.71
Bear_education_Curtis,power_active_kw,seasonal_naive_168h,7.3267,16.87,0.0
Bear_education_Curtis,power_active_kw,ridge_regression,5.9402,13.35,-20.86
Bear_education_Danna,power_active_kw,seasonal_naive_168h,19.9761,34.34,0.0
Bear_education_Danna,power_active_kw,ridge_regression,17.3525,29.27,-14.76
Bear_education_Darrell,power_active_kw,seasonal_naive_168h,6.945,44.54,0.0
Bear_education_Darrell,power_active_kw,ridge_regression,6.464,36.94,-17.08
Bear_education_Deborah,power_active_kw,seasonal_naive_168h,0.5148,158.9,0.0
Bear_education_Deborah,power_active_kw,ridge_regression,0.4947,132.94,-16.34
Bear_education_Deena,power_active_kw,seasonal_naive_168h,1.5405,29.96,0.0
Bear_education_Deena,power_active_kw,ridge_regression,1.2451,22.88,-23.63
Bear_education_Derek,power_active_kw,seasonal_naive_168h,23.9731,28.11,0.0
Bear_education_Derek,power_active_kw,ridge_regression,11.9579,14.28,-49.21
Bear_education_Destiny,power_active_kw,seasonal_naive_168h,17.5829,26.83,0.0
Bear_education_Destiny,power_active_kw,ridge_regression,12.7938,19.19,-28.49
Bear_education_Elise,power_active_kw,seasonal_naive_168h,33.1948,30.92,0.0
Bear_education_Elise,power_active_kw,ridge_regression,24.3138,21.91,-29.14
Bear_education_Fannie,power_active_kw,seasonal_naive_168h,35.393,14.74,0.0
Bear_education_Fannie,power_active_kw,ridge_regression,18.9279,7.17,-51.36
Bear_education_Gavin,power_active_kw,seasonal_naive_168h,5.5925,8.41,0.0
