date,day_of_week,month,actual_kWh,pred_dow_median,residual_dow_median,pred_overall_median,residual_overall_median
2017-01-03,1,1,49871.27,51914.19,-2042.9200000000055,52198.2,-2326.9300000000003
2017-01-04,2,1,49766.55,50631.5,-864.9499999999971,51606.61,-1840.0599999999977
2017-01-05,3,1,53584.38,53165.02,419.3600000000006,51607.06,1977.3199999999997
2017-01-06,4,1,52946.08,53703.38,-757.2999999999956,52199.8,746.2799999999988
2017-01-07,5,1,55441.47,51088.92,4352.550000000003,52789.39,2652.0800000000017
2017-01-08,6,1,56567.07000000001,49868.73,6698.340000000004,52892.65,3674.4200000000055
2017-01-11,2,1,53365.55,50634.62,2730.9300000000003,52934.27,431.2800000000061
2017-01-12,3,1,53723.08,53503.82,219.26000000000204,53020.59,702.4900000000052
2017-01-13,4,1,47361.71,53748.07,-6386.360000000001,53231.36,-5869.6500000000015
2017-01-14,5,1,49005.52,53429.75,-4424.230000000003,53229.56,-4224.040000000001
2017-01-15,6,1,44942.53,52508.04,-7565.510000000002,53227.01,-8284.480000000003
2017-01-17,1,1,,51483.41,,53224.76,
2017-01-18,2,1,,52226.28,,53223.52,
2017-01-19,3,1,,53494.89,,53221.4,
2017-01-20,4,1,48240.7,52823.45,-4582.75,53011.33,-4770.630000000005
2017-01-21,5,1,46897.36,51084.27,-4186.909999999996,52927.67,-6030.309999999998
2017-01-22,6,1,45068.75,49217.64,-4148.889999999999,52808.69,-7739.940000000002
2017-01-23,0,1,53763.34,51973.65,1789.689999999995,52129.6,1633.739999999998
2017-01-24,1,1,51768.4,52320.63,-552.2299999999959,52132.74,-364.3399999999965
2017-01-25,2,1,47818.740000000005,50428.84,-2610.0999999999913,51664.95,-3846.209999999992
2017-01-26,3,1,47202.75,53249.18,-6046.43,51485.12,-4282.370000000003
2017-01-27,4,1,49601.33,50591.97,-990.6399999999994,51248.34,-1647.0099999999948
2017-01-28,5,1,46720.18000000001,50205.13,-3484.94999999999,50924.74,-4204.55999999999
2017-01-29,6,1,45831.78999999999,49277.71,-3445.9200000000055,50475.11,-4643.320000000007
2017-01-30,0,1,52901.58,52716.24,185.34000000000378,49810.31,3091.270000000004
2017-01-31,1,1,51618.83,51655.78,-36.94999999999709,49810.16,1808.6699999999983
2017-02-01,2,2,49774.76,49402.38,372.38000000000466,49622.52,152.24000000000524
2017-02-02,3,2,49710.34999999999,51119.84,-1409.4900000000052,49622.21,88.13999999999214
2017-02-03,4,2,55305.02,48725.41,6579.609999999993,49619.92,5685.0999999999985
2017-02-04,5,2,47623.53,47762.28,-138.75,49636.14,-2012.6100000000006
2017-02-05,6,2,48244.14,45268.03,2976.1100000000006,49551.34,-1307.199999999997
2017-02-06,0,2,50511.01,53121.28,-2610.269999999997,49318.51,1192.5
2017-02-07,1,2,56049.100000000006,51387.35,4661.750000000007,49320.74,6728.360000000008
2017-02-08,2,2,55995.17,49509.39,6485.779999999999,49329.31,6665.860000000001
2017-02-09,3,2,54535.94,49303.17,5232.770000000004,49339.23,5196.709999999999
2017-02-10,4,2,58416.95,48753.87,9663.079999999994,49345.94,9071.009999999995
2017-02-11,5,2,49312.03,47199.61,2112.4199999999983,49356.35,-44.31999999999971
2017-02-12,6,2,46706.64,45304.15,1402.489999999998,49388.3,-2681.6600000000035
2017-02-13,0,2,52506.33,53153.2,-646.8699999999953,49384.84,3121.4900000000052
2017-02-14,1,2,53302.23,51518.24,1783.9900000000052,49581.72,3720.510000000002
2017-02-15,2,2,52067.14,49532.34,2534.800000000003,49585.82,2481.3199999999997
2017-02-16,3,2,54693.91,49317.14,5376.770000000004,49766.86,4927.050000000003
2017-02-17,4,2,52826.97,52386.98,439.98999999999796,50170.06,2656.9100000000035
2017-02-18,5,2,49130.6,47199.3,1931.2999999999956,50994.89,-1864.2900000000009
2017-02-19,6,2,51546.97,46204.66,5342.309999999998,50989.47,557.5
2017-02-21,1,2,47859.88,52454.19,-4594.310000000005,51502.06,-3642.1800000000003
2017-02-22,2,2,50519.58,50936.89,-417.3099999999977,50983.69,-464.1100000000006
2017-02-23,3,2,55121.02,52139.66,2981.3599999999933,50531.81,4589.209999999999
2017-02-24,4,2,55380.1,54083.58,1296.5199999999968,50989.62,4390.479999999996
2017-02-25,5,2,51580.15,48394.72,3185.4300000000003,51503.38,76.77000000000407
2017-02-26,6,2,44551.23,47491.08,-2939.8499999999985,51579.25,-7028.019999999997
2017-02-27,0,2,50645.09,52606.44,-1961.3500000000058,51565.63,-920.5400000000009
2017-02-28,1,2,52326.42,52357.36,-30.94000000000233,51557.56,768.8600000000006
2017-03-01,2,3,56951.93,47678.91,9273.019999999997,47930.09,9021.840000000004
2017-03-02,3,3,49399.61,50772.73,-1373.1200000000026,48177.92,1221.6900000000023
2017-03-03,4,3,51289.84,51443.38,-153.54000000000087,48519.03,2770.8099999999977
2017-03-04,5,3,48042.15000000001,45749.32,2292.830000000009,48719.48,-677.3299999999945
2017-03-05,6,3,48594.0,44125.79,4468.209999999999,48514.85,79.15000000000146
2017-03-06,0,3,52289.130000000005,47927.83,4361.300000000003,48601.11,3688.020000000004
2017-03-07,1,3,54513.09,49074.86,5438.229999999996,48704.92,5808.169999999998
2017-03-08,2,3,52624.79,50207.26,2417.529999999999,48938.8,3685.989999999998
2017-03-09,3,3,51635.45,50756.26,879.189999999995,48945.13,2690.3199999999997
2017-03-10,4,3,49942.060000000005,51377.0,-1434.939999999995,48950.59,991.4700000000084
