case_id,entity_id,key,type,group,start,end,duration_h,magnitude,detail,is_synthetic
H0001,Bull_office_Chantel,power_active_kw,stuck_sensor,DQ,2017-02-13 18:00:00,2017-02-14 06:00:00,13,,value=152,True
H0002,Bull_office_Chantel,power_active_kw,spike,A,2017-04-26 17:00:00,2017-04-26 18:00:00,2,2.055689559052303,,True
H0003,Bull_office_Chantel,power_active_kw,spike,A,2017-06-11 16:00:00,2017-06-11 16:00:00,1,1.7842070386264286,,True
H0004,Bull_office_Chantel,power_active_kw,after_hours,A,2017-06-17 08:00:00,2017-06-17 18:00:00,11,1.2488336542514338,variant=weekend,True
H0005,Bull_office_Chantel,power_active_kw,data_missing,DQ,2017-06-30 16:00:00,2017-07-02 01:00:00,34,,,True
H0006,Bull_office_Chantel,power_active_kw,after_hours,A,2017-09-27 20:00:00,2017-09-28 05:00:00,10,1.0,variant=night,True
H0007,Bull_office_Chantel,power_active_kw,efficiency_drop,B,2017-10-20 05:00:00,2017-11-15 04:00:00,624,0.1679096457915431,ramp_days=12,True
H0008,Bull_office_Lilla,power_active_kw,stuck_sensor,DQ,2017-01-10 04:00:00,2017-01-10 19:00:00,16,,value=428,True
H0009,Bull_office_Lilla,power_active_kw,efficiency_drop,B,2017-01-27 21:00:00,2017-02-19 20:00:00,552,0.15047209920237659,ramp_days=9,True
H0010,Bull_office_Lilla,power_active_kw,after_hours,A,2017-03-24 20:00:00,2017-03-25 05:00:00,10,1.3381161594396698,variant=night,True
H0011,Bull_office_Lilla,power_active_kw,data_missing,DQ,2017-06-21 02:00:00,2017-06-21 19:00:00,18,,,True
H0012,Bull_office_Lilla,power_active_kw,spike,A,2017-07-30 05:00:00,2017-07-30 05:00:00,1,1.9559251470939183,,True
H0013,Bull_office_Lilla,power_active_kw,spike,A,2017-08-27 07:00:00,2017-08-27 08:00:00,2,2.330369100986994,,True
H0014,Bull_office_Lilla,power_active_kw,after_hours,A,2017-10-22 08:00:00,2017-10-22 18:00:00,11,1.2558340225495475,variant=weekend,True
H0015,Bull_office_Rob,power_active_kw,after_hours,A,2017-03-22 20:00:00,2017-03-23 05:00:00,10,1.7645724887124838,variant=night,True
H0016,Bull_office_Rob,power_active_kw,stuck_sensor,DQ,2017-05-05 06:00:00,2017-05-05 09:00:00,4,,value=196,True
H0017,Bull_office_Rob,power_active_kw,after_hours,A,2017-05-27 08:00:00,2017-05-27 18:00:00,11,1.7241869958160025,variant=weekend,True
H0018,Bull_office_Rob,power_active_kw,data_missing,DQ,2017-06-12 21:00:00,2017-06-14 19:00:00,47,,,True
H0019,Bull_office_Rob,power_active_kw,spike,A,2017-09-17 22:00:00,2017-09-17 22:00:00,1,2.0427189158300854,,True
H0020,Bull_office_Rob,power_active_kw,spike,A,2017-12-06 20:00:00,2017-12-06 21:00:00,2,1.677008853180773,,True
H0021,Eagle_office_Demetra,power_active_kw,data_missing,DQ,2017-05-17 23:00:00,2017-05-19 13:00:00,39,,,True
H0022,Eagle_office_Demetra,power_active_kw,stuck_sensor,DQ,2017-09-04 23:00:00,2017-09-05 06:00:00,8,,value=195,True
H0023,Eagle_office_Demetra,power_active_kw,spike,A,2017-09-07 21:00:00,2017-09-07 22:00:00,2,1.8988049421892794,,True
H0024,Eagle_office_Demetra,power_active_kw,spike,A,2017-12-13 01:00:00,2017-12-13 03:00:00,3,2.668126355948692,,True
H0025,Eagle_office_Donovan,power_active_kw,spike,A,2017-01-07 17:00:00,2017-01-07 17:00:00,1,2.937838819862168,,True
H0026,Eagle_office_Donovan,power_active_kw,after_hours,A,2017-02-12 08:00:00,2017-02-12 18:00:00,11,1.9162914202222938,variant=weekend,True
H0027,Eagle_office_Donovan,power_active_kw,spike,A,2017-04-30 04:00:00,2017-04-30 05:00:00,2,2.3863732372221254,,True
H0028,Eagle_office_Donovan,power_active_kw,after_hours,A,2017-06-14 20:00:00,2017-06-15 05:00:00,10,1.418766060697134,variant=night,True
H0029,Eagle_office_Donovan,power_active_kw,stuck_sensor,DQ,2017-06-30 11:00:00,2017-06-30 22:00:00,12,,value=66.13,True
H0030,Eagle_office_Donovan,power_active_kw,efficiency_drop,B,2017-07-27 00:00:00,2017-08-21 23:00:00,624,0.0644586443230249,ramp_days=12,True
H0031,Eagle_office_Donovan,power_active_kw,data_missing,DQ,2017-11-11 11:00:00,2017-11-12 09:00:00,23,,,True
H0032,Eagle_office_Efrain,power_active_kw,efficiency_drop,B,2017-02-13 15:00:00,2017-03-06 14:00:00,504,0.12299874962572406,ramp_days=7,True
H0033,Eagle_office_Efrain,power_active_kw,stuck_sensor,DQ,2017-05-01 12:00:00,2017-05-02 07:00:00,20,,value=45.37,True
H0034,Eagle_office_Efrain,power_active_kw,data_missing,DQ,2017-05-29 05:00:00,2017-05-31 02:00:00,46,,,True
H0035,Eagle_office_Efrain,power_active_kw,spike,A,2017-07-18 23:00:00,2017-07-19 01:00:00,3,2.906739682462474,,True
H0036,Eagle_office_Efrain,power_active_kw,spike,A,2017-08-15 21:00:00,2017-08-15 21:00:00,1,2.2102341015854305,,True
H0037,Eagle_office_Francis,power_active_kw,spike,A,2017-01-08 07:00:00,2017-01-08 07:00:00,1,2.7394378862915367,,True
H0038,Eagle_office_Francis,power_active_kw,data_missing,DQ,2017-02-12 15:00:00,2017-02-13 06:00:00,16,,,True
H0039,Eagle_office_Francis,power_active_kw,stuck_sensor,DQ,2017-06-30 21:00:00,2017-07-01 05:00:00,9,,value=341,True
H0040,Eagle_office_Francis,power_active_kw,efficiency_drop,B,2017-10-03 04:00:00,2017-10-28 03:00:00,600,0.11583671904575701,ramp_days=11,True
H0041,Eagle_office_Francis,power_active_kw,spike,A,2017-11-28 01:00:00,2017-11-28 01:00:00,1,1.710373633497916,,True
H0042,Eagle_office_Jackie,power_active_kw,spike,A,2017-02-25 13:00:00,2017-02-25 15:00:00,3,2.489133952037853,,True
H0043,Eagle_office_Jackie,power_active_kw,stuck_sensor,DQ,2017-05-11 14:00:00,2017-05-12 07:00:00,18,,value=72,True
H0044,Eagle_office_Jackie,power_active_kw,data_missing,DQ,2017-08-23 21:00:00,2017-08-24 03:00:00,7,,,True
H0045,Eagle_office_Jackie,power_active_kw,spike,A,2017-10-01 19:00:00,2017-10-01 19:00:00,1,2.6529712378764856,,True
H0046,Eagle_office_Lillian,power_active_kw,spike,A,2017-02-17 06:00:00,2017-02-17 06:00:00,1,2.0563834257936584,,True
H0047,Eagle_office_Lillian,power_active_kw,data_missing,DQ,2017-03-08 16:00:00,2017-03-09 07:00:00,16,,,True
H0048,Eagle_office_Lillian,power_active_kw,spike,A,2017-04-15 23:00:00,2017-04-16 00:00:00,2,2.712377208096453,,True
H0049,Eagle_office_Lillian,power_active_kw,stuck_sensor,DQ,2017-11-14 14:00:00,2017-11-15 10:00:00,21,,value=22.3,True
H0050,Eagle_office_Lillian,power_active_kw,efficiency_drop,B,2017-11-28 15:00:00,2017-12-26 14:00:00,672,0.05561188342642697,ramp_days=14,True
H0051,Eagle_office_Patrice,power_active_kw,after_hours,A,2017-01-09 20:00:00,2017-01-10 05:00:00,10,1.2012161248189157,variant=night,True
H0052,Eagle_office_Patrice,power_active_kw,after_hours,A,2017-04-03 20:00:00,2017-04-04 05:00:00,10,1.2677339179461762,variant=night,True
H0053,Eagle_office_Patrice,power_active_kw,stuck_sensor,DQ,2017-04-08 12:00:00,2017-04-09 09:00:00,22,,value=78.3,True
H0054,Eagle_office_Patrice,power_active_kw,spike,A,2017-08-28 16:00:00,2017-08-28 16:00:00,1,1.7946519985718599,,True
H0055,Eagle_office_Patrice,power_active_kw,spike,A,2017-09-10 15:00:00,2017-09-10 17:00:00,3,2.3990741872812653,,True
H0056,Eagle_office_Patrice,power_active_kw,efficiency_drop,B,2017-10-25 12:00:00,2017-11-22 11:00:00,672,0.12725856938475721,ramp_days=14,True
H0057,Eagle_office_Patrice,power_active_kw,data_missing,DQ,2017-12-29 19:00:00,2017-12-30 10:00:00,16,,,True
H0058,Eagle_office_Randolph,power_active_kw,data_missing,DQ,2017-01-03 15:00:00,2017-01-04 11:00:00,21,,,True
H0059,Eagle_office_Randolph,power_active_kw,after_hours,A,2017-01-29 08:00:00,2017-01-29 18:00:00,11,1.307971360762362,variant=weekend,True
H0060,Eagle_office_Randolph,power_active_kw,efficiency_drop,B,2017-07-23 10:00:00,2017-08-19 09:00:00,648,0.12511117793035137,ramp_days=13,True
H0061,Eagle_office_Randolph,power_active_kw,spike,A,2017-09-01 04:00:00,2017-09-01 06:00:00,3,2.450962667521628,,True
H0062,Eagle_office_Randolph,power_active_kw,stuck_sensor,DQ,2017-10-14 09:00:00,2017-10-14 13:00:00,5,,value=69.46,True
H0063,Eagle_office_Randolph,power_active_kw,spike,A,2017-11-11 23:00:00,2017-11-12 00:00:00,2,1.710509395595869,,True
H0064,Eagle_office_Randolph,power_active_kw,after_hours,A,2017-12-21 20:00:00,2017-12-22 05:00:00,10,1.1591345489657718,variant=night,True
H0065,Eagle_office_Sonya,power_active_kw,efficiency_drop,B,2017-02-19 17:00:00,2017-03-19 16:00:00,672,0.1899534832400317,ramp_days=14,True
H0066,Eagle_office_Sonya,power_active_kw,data_missing,DQ,2017-05-12 10:00:00,2017-05-12 16:00:00,7,,,True
H0067,Eagle_office_Sonya,power_active_kw,spike,A,2017-09-12 13:00:00,2017-09-12 15:00:00,3,1.5267551759654816,,True
H0068,Eagle_office_Sonya,power_active_kw,stuck_sensor,DQ,2017-09-23 16:00:00,2017-09-24 11:00:00,20,,value=167,True
H0069,Eagle_office_Sonya,power_active_kw,spike,A,2017-10-15 15:00:00,2017-10-15 16:00:00,2,2.2010724023329375,,True
H0070,Eagle_office_Yadira,power_active_kw,efficiency_drop,B,2017-02-08 20:00:00,2017-03-07 19:00:00,648,0.08489611129496506,ramp_days=13,True
H0071,Eagle_office_Yadira,power_active_kw,data_missing,DQ,2017-03-11 17:00:00,2017-03-12 13:00:00,21,,,True
H0072,Eagle_office_Yadira,power_active_kw,stuck_sensor,DQ,2017-05-07 23:00:00,2017-05-08 20:00:00,22,,value=150.3,True
H0073,Eagle_office_Yadira,power_active_kw,spike,A,2017-05-22 22:00:00,2017-05-23 00:00:00,3,2.4090237310500164,,True
H0074,Eagle_office_Yadira,power_active_kw,spike,A,2017-12-10 14:00:00,2017-12-10 15:00:00,2,2.4046607360080885,,True
H0075,Fox_office_Alice,power_active_kw,spike,A,2017-06-25 22:00:00,2017-06-26 00:00:00,3,1.8549935444963717,,True
H0076,Fox_office_Alice,power_active_kw,data_missing,DQ,2017-09-28 22:00:00,2017-09-30 10:00:00,37,,,True
H0077,Fox_office_Alice,power_active_kw,efficiency_drop,B,2017-11-10 15:00:00,2017-12-03 14:00:00,552,0.14778965383699616,ramp_days=9,True
H0078,Fox_office_Alice,power_active_kw,spike,A,2017-12-16 13:00:00,2017-12-16 14:00:00,2,2.1808453231144496,,True
