event_id,group,module,entity_id,key,type,severity,rule_or_model,start,end,detected_at,duration_h,actual_mean,expected_mean,deviation_pct,peak_z,excess_kwh,reference_window,match,matched_case_id
EV-00001,B_efficiency,M2_chiller,Cockatoo_office_Giovanni,kw_per_kw_cooling,efficiency_degradation,info,fixed_reference_regression,2017-06-08 00:00:00,2017-07-01 23:00:00,2017-06-08 23:00:00,576,0.426,0.366,16.34,,,"2017-04-01..2017-05-27 (fixed, virtual maintenance)",true_positive,SYN-M2-01-01
EV-00002,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,off_hours_run,warning,profile_band,2017-01-17 02:00:00,2017-01-17 07:00:00,2017-01-17 04:00:00,6,95.968,81.175,18.22,5.15,88.8,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00003,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,spike,warning,profile_band,2017-01-26 17:00:00,2017-01-26 17:00:00,2017-01-26 17:00:00,1,202.806,153.595,32.04,6.41,49.2,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00004,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,off_hours_run,warning,profile_band,2017-01-27 11:00:00,2017-01-27 21:00:00,2017-01-27 13:00:00,11,129.021,78.444,64.48,19.02,556.4,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00005,A_level,M4_air,Eagle_office_Norbert,co2_ppm,co2_sustained_high,warning,profile_band,2017-01-27 12:00:00,2017-01-27 20:00:00,2017-01-27 14:00:00,9,885.778,704.222,25.78,6.75,,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00006,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,spike,warning,profile_band,2017-01-28 02:00:00,2017-01-28 02:00:00,2017-01-28 02:00:00,1,101.628,80.126,26.84,5.37,21.5,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00007,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,off_hours_run,warning,profile_band,2017-01-30 11:00:00,2017-01-30 21:00:00,2017-01-30 13:00:00,11,132.011,79.145,66.8,10.89,581.5,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00008,A_level,M4_air,Eagle_office_Norbert,co2_ppm,co2_sustained_high,warning,profile_band,2017-01-30 13:00:00,2017-01-30 19:00:00,2017-01-30 15:00:00,7,898.2,704.236,27.54,6.1,,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00009,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,spike,warning,profile_band,2017-01-31 13:00:00,2017-01-31 13:00:00,2017-01-31 13:00:00,1,142.843,82.828,72.46,11.46,60.0,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00010,A_level,M4_air,Eagle_office_Norbert,co2_ppm,co2_sustained_high,warning,profile_band,2017-01-31 13:00:00,2017-01-31 20:00:00,2017-01-31 15:00:00,8,894.513,707.987,26.35,6.5,,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00011,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,off_hours_run,warning,profile_band,2017-01-31 16:00:00,2017-01-31 18:00:00,2017-01-31 18:00:00,3,165.72,77.921,112.68,7.0,263.4,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00012,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,spike,warning,profile_band,2017-02-17 04:00:00,2017-02-17 04:00:00,2017-02-17 04:00:00,1,97.955,77.322,26.68,5.34,20.6,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00013,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,spike,warning,profile_band,2017-03-04 02:00:00,2017-03-04 03:00:00,2017-03-04 03:00:00,2,97.749,75.058,30.23,7.21,45.4,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00014,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,spike,warning,profile_band,2017-03-04 07:00:00,2017-03-04 08:00:00,2017-03-04 08:00:00,2,97.963,75.124,30.4,6.78,45.7,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00015,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,spike,warning,profile_band,2017-03-04 11:00:00,2017-03-04 11:00:00,2017-03-04 11:00:00,1,98.794,77.081,28.17,5.63,21.7,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00016,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,spike,warning,profile_band,2017-03-05 09:00:00,2017-03-05 09:00:00,2017-03-05 09:00:00,1,97.71,77.117,26.7,5.34,20.6,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00017,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,spike,warning,profile_band,2017-03-13 10:00:00,2017-03-13 10:00:00,2017-03-13 10:00:00,1,101.795,77.097,32.03,5.18,24.7,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00018,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,off_hours_run,warning,profile_band,2017-03-14 01:00:00,2017-03-14 04:00:00,2017-03-14 03:00:00,4,95.292,76.698,24.24,6.15,74.4,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00019,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,high_consumption,warning,profile_band,2017-03-14 07:00:00,2017-03-14 10:00:00,2017-03-14 09:00:00,4,95.934,77.218,24.24,5.4,74.9,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00020,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,off_hours_run,warning,profile_band,2017-03-15 02:00:00,2017-03-15 10:00:00,2017-03-15 04:00:00,9,99.3,76.592,29.65,12.83,204.4,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00021,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,spike,warning,profile_band,2017-03-16 00:00:00,2017-03-16 01:00:00,2017-03-16 01:00:00,2,101.832,78.39,29.9,6.11,46.9,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00022,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,spike,warning,profile_band,2017-03-16 04:00:00,2017-03-16 04:00:00,2017-03-16 04:00:00,1,97.206,75.289,29.11,5.82,21.9,"rolling 8 weeks, same day_type x tod_slot",false_positive,
EV-00023,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,spike,warning,profile_band,2017-03-16 17:00:00,2017-03-16 18:00:00,2017-03-16 17:00:00,2,428.223,143.766,197.86,18.96,568.9,"rolling 8 weeks, same day_type x tod_slot",true_positive,SYN-M1-01-01
EV-00024,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,spike,warning,profile_band,2017-03-16 23:00:00,2017-03-16 23:00:00,2017-03-16 23:00:00,1,106.795,83.68,27.62,5.52,23.1,"rolling 8 weeks, same day_type x tod_slot",true_positive,SYN-M1-01-01
EV-00025,A_consumption,M1_power,Eagle_office_Norbert,power_active_kw,spike,warning,profile_band,2017-03-17 10:00:00,2017-03-17 10:00:00,2017-03-17 10:00:00,1,104.555,77.118,35.58,5.19,27.4,"rolling 8 weeks, same day_type x tod_slot",true_positive,SYN-M1-01-01
