case_id,entity_id,module,key,group,anomaly_type,start,end,duration_h,magnitude,magnitude_unit,is_synthetic,source,note
NAT-M1-01-001,Eagle_office_Norbert,M1_power,power_active_kw,DQ_quality,stuck_sensor,2017-04-20 02:00:00,2017-04-20 11:00:00,10,,,False,natural,present in the real series before injection
SYN-M1-01-01,Eagle_office_Norbert,M1_power,power_active_kw,A_consumption,spike,2017-03-30 09:00:00,2017-03-30 10:00:00,2,277.11,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M1-01-02,Eagle_office_Norbert,M1_power,power_active_kw,A_consumption,off_hours_run,2017-04-14 20:00:00,2017-04-15 05:00:00,10,107.9,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M1-01-03,Eagle_office_Norbert,M1_power,power_active_kw,A_consumption,baseload_rise,2017-04-28 21:00:00,2017-05-02 08:00:00,84,32.61,kW_added,True,injected,constant 24/7 offset of 30-60% of the night base load
SYN-M1-01-04,Eagle_office_Norbert,M1_power,power_active_kw,DQ_quality,data_loss,2017-05-18 07:00:00,2017-05-19 20:00:00,38,0.0,,True,injected,samples removed
SYN-M1-01-05,Eagle_office_Norbert,M1_power,power_active_kw,DQ_quality,stuck_sensor,2017-06-15 21:00:00,2017-06-16 20:00:00,24,104.22,kW_frozen,True,injected,value frozen at first sample of the window
SYN-M1-01-06,Eagle_office_Norbert,M1_power,power_active_kw,A_consumption,spike,2017-07-12 04:00:00,2017-07-12 05:00:00,2,185.35,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M1-01-07,Eagle_office_Norbert,M1_power,power_active_kw,A_consumption,off_hours_run,2017-07-25 20:00:00,2017-07-26 04:00:00,9,116.4,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M1-01-08,Eagle_office_Norbert,M1_power,power_active_kw,A_consumption,baseload_rise,2017-08-22 18:00:00,2017-08-26 15:00:00,94,43.02,kW_added,True,injected,constant 24/7 offset of 30-60% of the night base load
SYN-M1-02-01,Hog_office_Emmanuel,M1_power,power_active_kw,A_consumption,spike,2017-03-31 08:00:00,2017-03-31 08:00:00,1,65.88,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M1-02-02,Hog_office_Emmanuel,M1_power,power_active_kw,A_consumption,off_hours_run,2017-04-10 20:00:00,2017-04-11 04:00:00,9,29.08,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M1-02-03,Hog_office_Emmanuel,M1_power,power_active_kw,A_consumption,baseload_rise,2017-04-27 08:00:00,2017-05-03 10:00:00,147,8.09,kW_added,True,injected,constant 24/7 offset of 30-60% of the night base load
SYN-M1-02-04,Hog_office_Emmanuel,M1_power,power_active_kw,DQ_quality,data_loss,2017-05-28 21:00:00,2017-05-30 02:00:00,30,0.0,,True,injected,samples removed
SYN-M1-02-05,Hog_office_Emmanuel,M1_power,power_active_kw,DQ_quality,stuck_sensor,2017-06-14 04:00:00,2017-06-14 11:00:00,8,19.88,kW_frozen,True,injected,value frozen at first sample of the window
SYN-M1-02-06,Hog_office_Emmanuel,M1_power,power_active_kw,A_consumption,spike,2017-07-18 14:00:00,2017-07-18 14:00:00,1,54.42,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M1-02-07,Hog_office_Emmanuel,M1_power,power_active_kw,A_consumption,off_hours_run,2017-08-06 20:00:00,2017-08-07 03:00:00,8,26.74,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M1-02-08,Hog_office_Emmanuel,M1_power,power_active_kw,A_consumption,baseload_rise,2017-08-15 02:00:00,2017-08-21 11:00:00,154,7.24,kW_added,True,injected,constant 24/7 offset of 30-60% of the night base load
SYN-M1-03-01,Hog_office_Shon,M1_power,power_active_kw,A_consumption,spike,2017-03-21 23:00:00,2017-03-22 00:00:00,2,132.54,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M1-03-02,Hog_office_Shon,M1_power,power_active_kw,A_consumption,off_hours_run,2017-04-19 20:00:00,2017-04-20 03:00:00,8,77.68,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M1-03-03,Hog_office_Shon,M1_power,power_active_kw,A_consumption,baseload_rise,2017-05-05 03:00:00,2017-05-11 00:00:00,142,17.9,kW_added,True,injected,constant 24/7 offset of 30-60% of the night base load
SYN-M1-03-04,Hog_office_Shon,M1_power,power_active_kw,DQ_quality,data_loss,2017-05-23 21:00:00,2017-05-24 17:00:00,21,0.0,,True,injected,samples removed
SYN-M1-03-05,Hog_office_Shon,M1_power,power_active_kw,DQ_quality,stuck_sensor,2017-06-13 23:00:00,2017-06-14 08:00:00,10,68.09,kW_frozen,True,injected,value frozen at first sample of the window
SYN-M1-03-06,Hog_office_Shon,M1_power,power_active_kw,A_consumption,spike,2017-07-05 15:00:00,2017-07-05 16:00:00,2,206.67,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M1-03-07,Hog_office_Shon,M1_power,power_active_kw,A_consumption,off_hours_run,2017-07-27 20:00:00,2017-07-28 05:00:00,10,91.78,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M1-03-08,Hog_office_Shon,M1_power,power_active_kw,A_consumption,baseload_rise,2017-08-18 06:00:00,2017-08-22 06:00:00,97,30.56,kW_added,True,injected,constant 24/7 offset of 30-60% of the night base load
NAT-M1-04-001,Panther_office_Shauna,M1_power,power_active_kw,DQ_quality,data_loss,2017-02-14 19:00:00,2017-02-14 23:00:00,5,,,False,natural,present in the real series before injection
NAT-M1-04-002,Panther_office_Shauna,M1_power,power_active_kw,DQ_quality,data_loss,2017-06-19 19:00:00,2017-06-20 00:00:00,6,,,False,natural,present in the real series before injection
SYN-M1-04-01,Panther_office_Shauna,M1_power,power_active_kw,A_consumption,spike,2017-03-15 09:00:00,2017-03-15 09:00:00,1,256.47,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M1-04-02,Panther_office_Shauna,M1_power,power_active_kw,A_consumption,off_hours_run,2017-04-17 20:00:00,2017-04-18 05:00:00,10,115.67,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
SYN-M1-04-03,Panther_office_Shauna,M1_power,power_active_kw,A_consumption,baseload_rise,2017-05-08 22:00:00,2017-05-13 14:00:00,113,32.46,kW_added,True,injected,constant 24/7 offset of 30-60% of the night base load
SYN-M1-04-04,Panther_office_Shauna,M1_power,power_active_kw,DQ_quality,data_loss,2017-06-06 05:00:00,2017-06-06 17:00:00,13,0.0,,True,injected,samples removed
SYN-M1-04-05,Panther_office_Shauna,M1_power,power_active_kw,DQ_quality,stuck_sensor,2017-06-16 01:00:00,2017-06-16 17:00:00,17,56.41,kW_frozen,True,injected,value frozen at first sample of the window
SYN-M1-04-06,Panther_office_Shauna,M1_power,power_active_kw,A_consumption,spike,2017-07-10 20:00:00,2017-07-10 20:00:00,1,152.56,kW_added,True,injected,added 1.0-2.0 x p95 of the meter
SYN-M1-04-07,Panther_office_Shauna,M1_power,power_active_kw,A_consumption,off_hours_run,2017-07-21 20:00:00,2017-07-22 04:00:00,9,110.0,kW_level,True,injected,load held at 70-100% of working-hour median from 20:00
