event_id,group,module,entity_id,key,type,severity,rule_or_model,start,end,detected_at,duration_h,actual_mean,expected_mean,deviation_pct,peak_z,excess_kwh,reference_window,score,n_merged,match,matched_case_id
IF-00001,DQ_quality,M2_cooling,Bull_office_Efren,cooling_kw,data_loss,warning,dq_gap>=3h,2017-04-23 07:00:00,2017-04-24 12:00:00,2017-04-23 09:00:00,30,,,,,,,,1,true_positive,SYN-M2-01-02
IF-00002,DQ_quality,M2_cooling,Bull_office_Efren,cooling_kw,stuck_sensor,warning,dq_flatline>=4h,2017-05-19 03:00:00,2017-05-20 00:00:00,2017-05-19 06:00:00,22,69.387,,,,,,,1,true_positive,SYN-M2-01-04
IF-00003,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,iforest,2017-05-27 10:00:00,2017-05-27 10:00:00,2017-05-27 10:00:00,1,464.646,217.482,113.65,,247.2,month cross-fit (other 11 months of 2017),0.6271,1,false_positive,
IF-00004,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,iforest,2017-05-27 17:00:00,2017-05-27 17:00:00,2017-05-27 17:00:00,1,81.591,56.358,44.77,,25.2,month cross-fit (other 11 months of 2017),0.6201,1,false_positive,
IF-00005,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,iforest,2017-05-28 10:00:00,2017-05-28 10:00:00,2017-05-28 10:00:00,1,456.03,217.482,109.69,,238.5,month cross-fit (other 11 months of 2017),0.6241,1,false_positive,
IF-00006,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,off_hours_run,warning,iforest,2017-06-09 22:00:00,2017-06-10 00:00:00,2017-06-10 00:00:00,3,474.562,82.341,476.34,,1176.7,month cross-fit (other 11 months of 2017),0.6191,1,true_positive,SYN-M2-01-05
IF-00007,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,iforest,2017-06-17 10:00:00,2017-06-17 11:00:00,2017-06-17 10:00:00,2,449.084,200.372,124.13,,497.4,month cross-fit (other 11 months of 2017),0.6386,1,false_positive,
IF-00008,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,iforest,2017-06-17 17:00:00,2017-06-17 17:00:00,2017-06-17 17:00:00,1,79.797,56.832,40.41,,23.0,month cross-fit (other 11 months of 2017),0.6208,1,false_positive,
IF-00009,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,off_hours_run,warning,iforest,2017-06-18 10:00:00,2017-06-18 12:00:00,2017-06-18 12:00:00,3,446.124,200.543,122.46,,736.7,month cross-fit (other 11 months of 2017),0.6342,1,false_positive,
IF-00010,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,iforest,2017-06-18 17:00:00,2017-06-18 17:00:00,2017-06-18 17:00:00,1,82.54,56.832,45.24,,25.7,month cross-fit (other 11 months of 2017),0.6156,1,false_positive,
