event_id,group,module,entity_id,key,type,severity,rule_or_model,start,end,detected_at,duration_h,actual_mean,expected_mean,deviation_pct,peak_z,excess_kwh,reference_window,score,n_merged,match,matched_case_id
IC-00001,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,iforest_ctx,2017-03-17 17:00:00,2017-03-17 18:00:00,2017-03-17 17:00:00,2,713.293,293.859,142.73,,838.9,month cross-fit (other 11 months of 2017),0.7412,1,true_positive,SYN-M2-01-01
IC-00002,DQ_quality,M2_cooling,Bull_office_Efren,cooling_kw,data_loss,warning,dq_gap>=3h,2017-04-23 07:00:00,2017-04-24 12:00:00,2017-04-23 09:00:00,30,,,,,,,,1,true_positive,SYN-M2-01-02
IC-00003,DQ_quality,M2_cooling,Bull_office_Efren,cooling_kw,stuck_sensor,warning,dq_flatline>=4h,2017-05-19 03:00:00,2017-05-20 00:00:00,2017-05-19 06:00:00,22,69.387,,,,,,,1,true_positive,SYN-M2-01-04
IC-00004,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,iforest_ctx,2017-05-27 10:00:00,2017-05-27 10:00:00,2017-05-27 10:00:00,1,464.646,217.482,113.65,,247.2,month cross-fit (other 11 months of 2017),0.6731,1,false_positive,
IC-00005,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,iforest_ctx,2017-05-28 10:00:00,2017-05-28 10:00:00,2017-05-28 10:00:00,1,456.03,217.482,109.69,,238.5,month cross-fit (other 11 months of 2017),0.6668,1,false_positive,
IC-00006,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,off_hours_run,warning,iforest_ctx,2017-06-09 22:00:00,2017-06-10 00:00:00,2017-06-10 00:00:00,3,474.562,82.341,476.34,,1176.7,month cross-fit (other 11 months of 2017),0.733,1,true_positive,SYN-M2-01-05
IC-00007,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,iforest_ctx,2017-06-17 10:00:00,2017-06-17 10:00:00,2017-06-17 10:00:00,1,481.246,201.832,138.44,,279.4,month cross-fit (other 11 months of 2017),0.6839,1,false_positive,
IC-00008,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,iforest_ctx,2017-06-18 10:00:00,2017-06-18 10:00:00,2017-06-18 10:00:00,1,483.426,201.832,139.52,,281.6,month cross-fit (other 11 months of 2017),0.6884,1,false_positive,
IC-00009,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,off_hours_run,warning,iforest_ctx,2017-06-24 00:00:00,2017-06-24 03:00:00,2017-06-24 02:00:00,4,297.376,42.193,604.8,,1020.7,month cross-fit (other 11 months of 2017),0.7296,1,false_positive,
IC-00010,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,iforest_ctx,2017-06-25 10:00:00,2017-06-25 10:00:00,2017-06-25 10:00:00,1,461.164,201.832,128.49,,259.3,month cross-fit (other 11 months of 2017),0.6811,1,false_positive,
