event_id,group,module,entity_id,key,type,severity,rule_or_model,start,end,detected_at,duration_h,actual_mean,expected_mean,deviation_pct,peak_z,excess_kwh,reference_window,score,n_merged,match,matched_case_id
LG-00001,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,lgbm_quantile_band,2017-01-01 19:00:00,2017-01-01 20:00:00,2017-01-01 19:00:00,2,104.925,40.22,160.88,6.19,129.4,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00002,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,lgbm_quantile_band,2017-01-07 13:00:00,2017-01-07 13:00:00,2017-01-07 13:00:00,1,26.658,-0.171,-15689.47,6.28,26.8,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00003,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,off_hours_run,warning,lgbm_quantile_band,2017-01-07 18:00:00,2017-01-07 21:00:00,2017-01-07 20:00:00,4,18.648,-0.007,-266500.0,4.98,74.6,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00004,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,off_hours_run,warning,lgbm_quantile_band,2017-01-26 23:00:00,2017-01-27 01:00:00,2017-01-27 01:00:00,3,27.924,2.861,876.02,8.38,75.2,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00005,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,lgbm_quantile_band,2017-03-17 17:00:00,2017-03-17 18:00:00,2017-03-17 17:00:00,2,713.293,203.482,250.54,5.86,1019.6,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M2-01-01
LG-00006,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,lgbm_quantile_band,2017-04-07 04:00:00,2017-04-07 05:00:00,2017-04-07 05:00:00,2,34.676,8.228,321.44,5.27,52.9,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00007,DQ_quality,M2_cooling,Bull_office_Efren,cooling_kw,data_loss,warning,dq_gap>=3h,2017-04-23 07:00:00,2017-04-24 12:00:00,2017-04-23 09:00:00,30,,,,,,,,1,true_positive,SYN-M2-01-02
LG-00008,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,lgbm_quantile_band,2017-05-01 18:00:00,2017-05-01 19:00:00,2017-05-01 18:00:00,2,245.898,192.304,27.87,6.58,107.2,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00009,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,off_hours_run,warning,lgbm_quantile_band,2017-05-04 00:00:00,2017-05-04 03:00:00,2017-05-04 02:00:00,4,204.025,59.957,240.29,4.8,576.3,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M2-01-03
LG-00010,DQ_quality,M2_cooling,Bull_office_Efren,cooling_kw,stuck_sensor,warning,dq_flatline>=4h,2017-05-19 03:00:00,2017-05-20 00:00:00,2017-05-19 06:00:00,22,69.387,,,,,,,1,true_positive,SYN-M2-01-04
LG-00011,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,lgbm_quantile_band,2017-06-09 22:00:00,2017-06-09 23:00:00,2017-06-09 22:00:00,2,678.819,148.956,355.72,7.7,1059.7,month cross-fit (other 11 months of 2017),,1,true_positive,SYN-M2-01-05
LG-00012,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,high_consumption,warning,lgbm_quantile_band,2017-06-23 14:00:00,2017-06-23 16:00:00,2017-06-23 16:00:00,3,476.908,400.85,18.97,3.85,228.2,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00013,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,off_hours_run,warning,lgbm_quantile_band,2017-06-24 00:00:00,2017-06-24 02:00:00,2017-06-24 02:00:00,3,370.231,82.71,347.63,95.8,862.6,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00014,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,lgbm_quantile_band,2017-07-08 07:00:00,2017-07-08 07:00:00,2017-07-08 07:00:00,1,406.267,90.357,349.62,5.6,315.9,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00015,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,lgbm_quantile_band,2017-08-07 06:00:00,2017-08-07 06:00:00,2017-08-07 06:00:00,1,249.274,175.753,41.83,8.37,73.5,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00016,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,spike,warning,lgbm_quantile_band,2017-08-08 13:00:00,2017-08-08 13:00:00,2017-08-08 13:00:00,1,894.054,344.538,159.49,14.2,549.5,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00017,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,off_hours_run,warning,lgbm_quantile_band,2017-08-12 12:00:00,2017-08-12 17:00:00,2017-08-12 14:00:00,6,464.242,341.217,36.05,7.99,738.1,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00018,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,off_hours_run,warning,lgbm_quantile_band,2017-09-15 23:00:00,2017-09-16 09:00:00,2017-09-16 01:00:00,11,343.884,79.991,329.9,7.38,2902.8,month cross-fit (other 11 months of 2017),,1,false_positive,
LG-00019,A_consumption,M2_cooling,Bull_office_Efren,cooling_kw,off_hours_run,warning,lgbm_quantile_band,2017-09-16 19:00:00,2017-09-17 09:00:00,2017-09-16 21:00:00,15,312.648,78.247,299.57,14.76,3516.0,month cross-fit (other 11 months of 2017),,1,false_positive,
