budget_per_day,detector,n_events,n_labels,event_precision,event_recall,median_delay_h
0.02,rules_profile_band,136.0,60,0.21323529411764705,0.48333333333333334,0.0
0.02,isolation_forest,140.0,60,0.19285714285714287,0.45,0.0
0.02,lightgbm_residual,136.0,60,0.2867647058823529,0.65,0.0
0.02,lightgbm_if_score,140.0,60,0.24285714285714285,0.5666666666666667,0.0
0.02,lightgbm_if_score_lag24h,137.0,60,0.2773722627737226,0.6333333333333333,0.0
0.02,fusion_max_lgbm_if,140.0,60,0.2857142857142857,0.6666666666666666,0.0
0.02,fusion_mean_lgbm_if,138.0,60,0.26811594202898553,0.6166666666666667,0.0
0.05,rules_profile_band,345.0,60,0.1391304347826087,0.7666666666666667,0.0
0.05,isolation_forest,342.0,60,0.11988304093567251,0.6833333333333333,0.0
0.05,lightgbm_residual,345.0,60,0.15072463768115943,0.8666666666666667,0.0
0.05,lightgbm_if_score,351.0,60,0.13105413105413105,0.7666666666666667,0.0
0.05,lightgbm_if_score_lag24h,346.0,60,0.1531791907514451,0.8833333333333333,0.0
0.05,fusion_max_lgbm_if,360.0,60,0.14444444444444443,0.8666666666666667,0.0
0.05,fusion_mean_lgbm_if,347.0,60,0.14697406340057637,0.85,0.0
0.1,rules_profile_band,650.0,60,0.08,0.8166666666666667,0.0
0.1,isolation_forest,544.0,60,0.08088235294117647,0.7166666666666667,0.0
0.1,lightgbm_residual,681.0,60,0.08370044052863436,0.9333333333333333,0.0
0.1,lightgbm_if_score,689.0,60,0.06821480406386067,0.7833333333333333,0.0
0.1,lightgbm_if_score_lag24h,684.0,60,0.08625730994152046,0.9666666666666667,0.0
0.1,fusion_max_lgbm_if,720.0,60,0.07916666666666666,0.95,0.0
0.1,fusion_mean_lgbm_if,685.0,60,0.08175182481751825,0.9333333333333333,0.0
0.2,rules_profile_band,1135.0,60,0.051982378854625554,0.9166666666666666,0.0
0.2,isolation_forest,666.0,60,0.07057057057057058,0.7666666666666667,0.0
0.2,lightgbm_residual,1267.0,60,0.0473559589581689,0.9833333333333333,0.0
0.2,lightgbm_if_score,1230.0,60,0.044715447154471545,0.9,0.0
0.2,lightgbm_if_score_lag24h,1265.0,60,0.048221343873517786,0.9833333333333333,0.0
0.2,fusion_max_lgbm_if,1431.0,60,0.04122990915443746,0.9833333333333333,0.0
0.2,fusion_mean_lgbm_if,1254.0,60,0.04704944178628389,0.9833333333333333,0.0
