detector,type,n_events,n_labels,event_precision,event_recall,median_delay_h
rules_profile_band,ALL,1135.0,60,0.051982378854625554,0.9166666666666666,0.0
rules_profile_band,after_hours,,20,,0.85,1.0
rules_profile_band,spike,,40,,0.95,0.0
rules_point_and_interval,ALL,1293.0,60,0.05491105955143078,0.9166666666666666,0.0
rules_point_and_interval,after_hours,,20,,0.85,0.0
rules_point_and_interval,spike,,40,,0.95,0.0
rules_scope_point,ALL,817.0,60,0.03427172582619339,0.45,0.0
rules_scope_point,after_hours,,20,,0.15,5.0
rules_scope_point,spike,,40,,0.6,0.0
rules_scope_interval,ALL,476.0,60,0.09033613445378151,0.7166666666666667,0.0
rules_scope_interval,after_hours,,20,,0.75,0.0
rules_scope_interval,spike,,40,,0.7,0.0
isolation_forest,ALL,666.0,60,0.07057057057057058,0.7666666666666667,0.0
isolation_forest,after_hours,,20,,0.55,3.0
isolation_forest,spike,,40,,0.875,0.0
lightgbm_residual,ALL,1267.0,60,0.0473559589581689,0.9833333333333333,0.0
lightgbm_residual,after_hours,,20,,0.95,0.0
lightgbm_residual,spike,,40,,1.0,0.0
lightgbm_if_score,ALL,1230.0,60,0.044715447154471545,0.9,0.0
lightgbm_if_score,after_hours,,20,,0.95,1.0
lightgbm_if_score,spike,,40,,0.875,0.0
lightgbm_if_score_lag24h,ALL,1265.0,60,0.048221343873517786,0.9833333333333333,0.0
lightgbm_if_score_lag24h,after_hours,,20,,0.95,0.0
lightgbm_if_score_lag24h,spike,,40,,1.0,0.0
fusion_max_lgbm_if,ALL,1431.0,60,0.04122990915443746,0.9833333333333333,0.0
fusion_max_lgbm_if,after_hours,,20,,0.95,0.0
fusion_max_lgbm_if,spike,,40,,1.0,0.0
fusion_mean_lgbm_if,ALL,1254.0,60,0.04704944178628389,0.9833333333333333,0.0
fusion_mean_lgbm_if,after_hours,,20,,0.95,0.0
fusion_mean_lgbm_if,spike,,40,,1.0,0.0
efficiency_regression,ALL,92.0,16,0.11956521739130435,0.5,75.0
efficiency_regression,efficiency_drop,,16,,0.5,75.0
final_alerts,ALL,1314.0,76,0.20471841704718416,0.9342105263157895,0.0
final_alerts,after_hours,,20,,0.85,0.0
final_alerts,efficiency_drop,,16,,1.0,25.0
final_alerts,spike,,40,,0.95,0.0
data_quality,ALL,1245.0,1245,1.0,1.0,0.0
data_quality,data_missing,,20,,1.0,0.0
data_quality,natural_data_missing,,496,,1.0,0.0
data_quality,natural_stuck_sensor,,709,,1.0,0.0
data_quality,stuck_sensor,,20,,1.0,0.0
daily_residual_z,ALL,6.0,4,0.5,0.75,0.0
daily_residual_z,spike,,4,,0.75,0.0
daily_residual_cusum,ALL,8.0,3,0.375,1.0,24.0
daily_residual_cusum,level_shift,,3,,1.0,24.0
daily_data_quality,ALL,16.0,2,0.125,1.0,0.0
daily_data_quality,data_missing,,2,,1.0,0.0
daily_all,ALL,26.0,9,0.3076923076923077,0.7777777777777778,0.0
daily_all,data_missing,,2,,1.0,0.0
daily_all,level_shift,,3,,0.6666666666666666,36.0
daily_all,spike,,4,,0.75,0.0
