key,anomaly_type,n_cases,detected,type_match,median_delay_h,event_recall,type_match_rate,suite,threshold
cooling_kw,data_loss,4,4,4,2.0,1.0,1.0,rules,3.0
cooling_kw,off_hours_run,8,8,8,4.5,1.0,1.0,rules,3.0
cooling_kw,spike,8,8,6,0.0,1.0,0.75,rules,3.0
cooling_kw,stuck_sensor,4,4,4,3.0,1.0,1.0,rules,3.0
power_active_kw,baseload_rise,12,12,11,2.0,1.0,0.917,rules,3.0
power_active_kw,data_loss,6,6,6,2.0,1.0,1.0,rules,3.0
power_active_kw,off_hours_run,12,12,12,3.0,1.0,1.0,rules,3.0
power_active_kw,spike,12,12,11,0.0,1.0,0.917,rules,3.0
power_active_kw,stuck_sensor,6,6,6,3.0,1.0,1.0,rules,3.0
cooling_kw,data_loss,4,4,4,2.0,1.0,1.0,lightgbm,3.5
cooling_kw,off_hours_run,8,5,5,4.0,0.625,0.625,lightgbm,3.5
cooling_kw,spike,8,7,7,0.0,0.875,0.875,lightgbm,3.5
cooling_kw,stuck_sensor,4,4,4,3.0,1.0,1.0,lightgbm,3.5
power_active_kw,baseload_rise,12,12,11,2.0,1.0,0.917,lightgbm,3.5
power_active_kw,data_loss,6,6,6,2.0,1.0,1.0,lightgbm,3.5
power_active_kw,off_hours_run,12,12,12,4.0,1.0,1.0,lightgbm,3.5
power_active_kw,spike,12,12,12,0.0,1.0,1.0,lightgbm,3.5
power_active_kw,stuck_sensor,6,6,6,3.0,1.0,1.0,lightgbm,3.5
cooling_kw,data_loss,4,4,4,2.0,1.0,1.0,iforest,0.95
cooling_kw,off_hours_run,8,3,2,0.0,0.375,0.25,iforest,0.95
cooling_kw,spike,8,6,4,0.0,0.75,0.5,iforest,0.95
cooling_kw,stuck_sensor,4,4,4,3.0,1.0,1.0,iforest,0.95
power_active_kw,baseload_rise,12,10,5,19.5,0.833,0.417,iforest,0.95
power_active_kw,data_loss,6,6,6,2.0,1.0,1.0,iforest,0.95
power_active_kw,off_hours_run,12,2,1,3.0,0.167,0.083,iforest,0.95
power_active_kw,spike,12,10,8,0.0,0.833,0.667,iforest,0.95
power_active_kw,stuck_sensor,6,6,6,3.0,1.0,1.0,iforest,0.95
cooling_kw,data_loss,4,4,4,2.0,1.0,1.0,iforest_ctx,0.95
cooling_kw,off_hours_run,8,3,2,0.0,0.375,0.25,iforest_ctx,0.95
cooling_kw,spike,8,8,6,0.0,1.0,0.75,iforest_ctx,0.95
cooling_kw,stuck_sensor,4,4,4,3.0,1.0,1.0,iforest_ctx,0.95
power_active_kw,baseload_rise,12,10,6,15.5,0.833,0.5,iforest_ctx,0.95
power_active_kw,data_loss,6,6,6,2.0,1.0,1.0,iforest_ctx,0.95
power_active_kw,off_hours_run,12,1,1,0.0,0.083,0.083,iforest_ctx,0.95
power_active_kw,spike,12,12,9,0.0,1.0,0.75,iforest_ctx,0.95
power_active_kw,stuck_sensor,6,6,6,3.0,1.0,1.0,iforest_ctx,0.95
