suite,threshold,n_raw_events,n_suppressed_as_sensor_fault,n_alerts,event_recall,event_recall_group_A,type_match_rate,median_delay_h_group_A,event_precision,precision_cooling_kw,precision_power_active_kw,fa_per_device_day_power_active_kw,fa_per_device_day_cooling_kw
rules,2.5,714,3,684,1.0,1.0,0.931,2.0,0.192,0.105,0.268,0.1187,0.187
rules,3.0,607,3,587,1.0,1.0,0.944,2.0,0.234,0.111,0.333,0.095,0.1534
rules,3.5,553,3,535,1.0,1.0,0.944,2.0,0.259,0.121,0.367,0.0836,0.1349
rules,4.0,534,3,511,0.972,0.962,0.917,2.0,0.28,0.123,0.393,0.079,0.1226
rules,5.0,567,3,542,0.958,0.942,0.903,2.0,0.301,0.118,0.426,0.0813,0.1274
lightgbm,2.5,851,3,816,0.972,0.962,0.944,2.0,0.155,0.064,0.255,0.1279,0.2685
lightgbm,3.0,699,2,673,0.958,0.942,0.931,2.0,0.201,0.07,0.343,0.0936,0.2171
lightgbm,3.5,620,2,599,0.944,0.923,0.931,2.0,0.233,0.08,0.384,0.0822,0.1808
lightgbm,4.0,566,2,542,0.931,0.904,0.917,2.0,0.257,0.09,0.417,0.0708,0.1596
lightgbm,5.0,576,2,559,0.917,0.885,0.903,2.0,0.288,0.091,0.462,0.0703,0.1575
iforest,0.9,863,0,817,0.75,0.654,0.583,2.0,0.117,0.062,0.161,0.1694,0.2274
iforest,0.95,547,0,526,0.708,0.596,0.556,0.0,0.164,0.086,0.235,0.0922,0.1521
iforest,0.98,290,0,282,0.625,0.481,0.458,2.0,0.265,0.147,0.378,0.0384,0.0753
iforest,0.99,189,0,183,0.556,0.385,0.417,1.0,0.339,0.198,0.476,0.0201,0.0445
iforest,0.995,125,0,122,0.514,0.327,0.431,0.0,0.471,0.317,0.571,0.0123,0.0192
iforest,0.998,78,0,76,0.431,0.212,0.389,0.0,0.569,0.44,0.667,0.005,0.0096
iforest_ctx,0.9,802,0,781,0.833,0.769,0.667,0.0,0.122,0.071,0.174,0.1434,0.2418
iforest_ctx,0.95,464,0,454,0.75,0.654,0.611,0.0,0.198,0.101,0.296,0.0694,0.1342
iforest_ctx,0.98,255,0,249,0.639,0.5,0.514,0.0,0.283,0.136,0.48,0.0233,0.0781
iforest_ctx,0.99,167,0,165,0.611,0.462,0.5,0.0,0.361,0.202,0.571,0.0123,0.0459
iforest_ctx,0.995,114,0,112,0.597,0.442,0.514,0.0,0.521,0.37,0.667,0.0073,0.0199
iforest_ctx,0.998,72,0,70,0.5,0.308,0.431,0.0,0.75,0.619,0.839,0.0023,0.0055
